رقم,اسم الملف,اسم المنتج المبدئي,التصنيف,بصمة الصورة,ملاحظة تشابه
4801,Hazem19792019_5418.jpg,منتج Hazem19792019_5418,أخرى,fee8c0e8fee0e0fc,يوجد صور متطابقة/متشابهة بصرياً
4802,Hazem19792019_5419.jpg,منتج Hazem19792019_5419,أخرى,df808581fd9b01ff,يوجد صور متطابقة/متشابهة بصرياً
4803,Hazem19792019_542.jpg,منتج Hazem19792019_542,أخرى,f8fcfc9dfd7c1600,
4804,Hazem19792019_5420.jpg,منتج Hazem19792019_5420,أخرى,f98100948000939f,يوجد صور متطابقة/متشابهة بصرياً
4805,Hazem19792019_5421.jpg,منتج Hazem19792019_5421,أخرى,ff120000302487fe,يوجد صور متطابقة/متشابهة بصرياً
4806,Hazem19792019_5422.jpg,منتج Hazem19792019_5422,أخرى,001f3f3e1c1c1e3c,يوجد صور متطابقة/متشابهة بصرياً
4807,Hazem19792019_5423.jpg,منتج Hazem19792019_5423,أخرى,ffffc78f971f9f7f,يوجد صور متطابقة/متشابهة بصرياً
4808,Hazem19792019_5424.jpg,منتج Hazem19792019_5424,أخرى,1fff1f1393e3c0ed,يوجد صور متطابقة/متشابهة بصرياً
4809,Hazem19792019_5425.jpg,منتج Hazem19792019_5425,أخرى,f9030333030387ff,يوجد صور متطابقة/متشابهة بصرياً
4810,Hazem19792019_5426.jpg,منتج Hazem19792019_5426,أخرى,ff3133beb8bee680,يوجد صور متطابقة/متشابهة بصرياً
4811,Hazem19792019_5427.jpg,منتج Hazem19792019_5427,أخرى,df83c1e1f98f8fff,يوجد صور متطابقة/متشابهة بصرياً
4812,Hazem19792019_5428.jpg,منتج Hazem19792019_5428,أخرى,8f8788f8fdfc9dff,يوجد صور متطابقة/متشابهة بصرياً
4813,Hazem19792019_5429.jpg,منتج Hazem19792019_5429,أخرى,3e7f667e74004000,يوجد صور متطابقة/متشابهة بصرياً
4814,Hazem19792019_543.jpg,منتج Hazem19792019_543,أخرى,1f0fe3901fe3f0fc,
4815,Hazem19792019_5430.jpg,منتج Hazem19792019_5430,أخرى,fdb904248d8dadfc,يوجد صور متطابقة/متشابهة بصرياً
4816,Hazem19792019_5431.jpg,منتج Hazem19792019_5431,أخرى,fff9f99d0d05ccfd,يوجد صور متطابقة/متشابهة بصرياً
4817,Hazem19792019_5432.jpg,منتج Hazem19792019_5432,أخرى,ffe0007ffff2b8d0,يوجد صور متطابقة/متشابهة بصرياً
