رقم,اسم الملف,اسم المنتج المبدئي,التصنيف,بصمة الصورة,ملاحظة تشابه
5401,Hazem19792019_5964.jpg,منتج Hazem19792019_5964,أخرى,ffff8101018187df,
5402,Hazem19792019_5965.jpg,منتج Hazem19792019_5965,أخرى,4018803ce0e0ffff,يوجد صور متطابقة/متشابهة بصرياً
5403,Hazem19792019_5966.jpg,منتج Hazem19792019_5966,أخرى,e4fcfaf2fe7e1640,يوجد صور متطابقة/متشابهة بصرياً
5404,Hazem19792019_5967.jpg,منتج Hazem19792019_5967,أخرى,ffc1c0b9fb9b8b9b,يوجد صور متطابقة/متشابهة بصرياً
5405,Hazem19792019_5968.jpg,منتج Hazem19792019_5968,أخرى,83908cf03fcff98c,يوجد صور متطابقة/متشابهة بصرياً
5406,Hazem19792019_5969.jpg,منتج Hazem19792019_5969,أخرى,dff1f1f11b13179f,يوجد صور متطابقة/متشابهة بصرياً
5407,Hazem19792019_597.jpg,منتج Hazem19792019_597,أخرى,ffff07030301ffff,
5408,Hazem19792019_5970.jpg,منتج Hazem19792019_5970,أخرى,00f7fdb4e7e7e7ef,يوجد صور متطابقة/متشابهة بصرياً
5409,Hazem19792019_5971.jpg,منتج Hazem19792019_5971,أخرى,3ffcf417141f171f,يوجد صور متطابقة/متشابهة بصرياً
5410,Hazem19792019_5972.jpg,منتج Hazem19792019_5972,أخرى,a1a5a4ec78303000,يوجد صور متطابقة/متشابهة بصرياً
5411,Hazem19792019_5973.jpg,منتج Hazem19792019_5973,أخرى,ff1f0f1f03071fff,
5412,Hazem19792019_5974.jpg,منتج Hazem19792019_5974,أخرى,e1c1b19393f3f3c3,
5413,Hazem19792019_5975.jpg,منتج Hazem19792019_5975,أخرى,00c0ecfcc879ffff,
5414,Hazem19792019_5976.jpg,منتج Hazem19792019_5976,أخرى,7fffdf0e1b492402,
