رقم,اسم الملف,اسم المنتج المبدئي,التصنيف,بصمة الصورة,ملاحظة تشابه
3301,Hazem19792019_4054.jpg,منتج Hazem19792019_4054,أخرى,ff0f04040000c7ff,
3302,Hazem19792019_4055.jpg,منتج Hazem19792019_4055,أخرى,81010000f9f7d5f9,
3303,Hazem19792019_4056.jpg,منتج Hazem19792019_4056,أخرى,fcfc40000000ffff,
3304,Hazem19792019_4057.jpg,منتج Hazem19792019_4057,أخرى,3c3cfc3838383803,
3305,Hazem19792019_4058.jpg,منتج Hazem19792019_4058,أخرى,3d3c3cfc3c3c3c38,
3306,Hazem19792019_4059.jpg,منتج Hazem19792019_4059,أخرى,0f0f0f0703477f0f,
3307,Hazem19792019_406.jpg,منتج Hazem19792019_406,أخرى,0078787838383839,
3308,Hazem19792019_4060.jpg,منتج Hazem19792019_4060,أخرى,ff004000009dcdf7,يوجد صور متطابقة/متشابهة بصرياً
3309,Hazem19792019_4061.jpg,منتج Hazem19792019_4061,أخرى,7ffc7f08001ed7c1,
3310,Hazem19792019_4062.jpg,منتج Hazem19792019_4062,أخرى,e7a1b98101010181,
3311,Hazem19792019_4063.jpg,منتج Hazem19792019_4063,أخرى,fffffbff80000000,يوجد صور متطابقة/متشابهة بصرياً
3312,Hazem19792019_4064.jpg,منتج Hazem19792019_4064,أخرى,000efe7e7efef3ff,
3313,Hazem19792019_4065.jpg,منتج Hazem19792019_4065,أخرى,07070702e0e0f341,يوجد صور متطابقة/متشابهة بصرياً
3314,Hazem19792019_4066.jpg,منتج Hazem19792019_4066,أخرى,ffffc7858181e3ff,يوجد صور متطابقة/متشابهة بصرياً
3315,Hazem19792019_4067.jpg,منتج Hazem19792019_4067,أخرى,be7c5d5808f7d100,يوجد صور متطابقة/متشابهة بصرياً
3316,Hazem19792019_4068.jpg,منتج Hazem19792019_4068,أخرى,81019d91b53515ff,يوجد صور متطابقة/متشابهة بصرياً
